,video_id,channelTitle,course,video_type,episode_title,episode_num,episode_title_len,tag_Count,publishedDate,publishedTime,days_published_for,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,with_Arizona
0,WzOrF5W4l3Q,CrashCourse,Botany,regular course,Photosynthesis and Cellular Respiration,5.0,40,15.0,2023-06-22,16:00:21,3,13760.0,835.0,,51.0,780.0,hd,True,False
1,pqosCR6J2qo,CrashCourse,Botany,regular course,What Do These Creepy Plant Mouths Do? (Plant Tissues),4.0,54,7.0,2023-06-15,16:00:38,10,32496.0,1570.0,,52.0,764.0,hd,True,False
2,xOLcZMw0hd4,CrashCourse,Biology,regular course,The Scientific Method,2.0,22,11.0,2023-06-13,16:00:44,12,30368.0,1519.0,,87.0,909.0,hd,True,False
3,tZE_fQFK8EY,CrashCourse,Biology,regular course,Introduction to Biology,1.0,24,9.0,2023-06-06,16:00:39,19,70777.0,3775.0,,266.0,807.0,hd,True,False
4,y9BLCfcUcFg,CrashCourse,Botany,regular course,Plant Cells & Hormones,3.0,23,22.0,2023-06-01,16:03:13,24,56483.0,3462.0,,135.0,778.0,hd,True,False
5,9AEzixu_xZk,CrashCourse,Botany,regular course,What Are Plants Made Of?,2.0,25,21.0,2023-05-25,16:00:10,31,77919.0,5529.0,,247.0,990.0,hd,True,False
6,PWGBqskV1UQ,CrashCourse,unknown,unknown,NEW Crash Course Biology Series!,,32,9.0,2023-05-23,16:00:14,33,55754.0,3251.0,,226.0,259.0,hd,True,False
7,2th5lAd-77A,CrashCourse,Botany,regular course,What is Botany?,1.0,16,14.0,2023-05-18,16:00:01,38,228760.0,25747.0,,1240.0,821.0,hd,True,False
8,WACSnwKby2Y,CrashCourse,Preview,preview,Crash Course Botany !,,21,10.0,2023-05-11,18:00:12,45,88191.0,8216.0,,510.0,200.0,hd,True,False
9,3p51wKUuwOU,CrashCourse,Climate & Energy,regular course,How Can We Respond to Climate Change?,12.0,38,4.0,2023-04-26,16:00:07,60,48274.0,,,112.0,847.0,hd,True,False
10,ML70W4O6F4E,CrashCourse,Climate & Energy,regular course,The Hidden Price of Climate Change,11.0,35,13.0,2023-04-12,16:00:24,74,48618.0,1467.0,,117.0,820.0,hd,True,False
11,Z5YvjG4lTpQ,CrashCourse,Climate & Energy,regular course,International Climate Agreements,10.0,33,4.0,2023-04-05,16:00:17,81,29566.0,,,55.0,811.0,hd,True,False
12,7ODrQW0vSmA,CrashCourse,Climate & Energy,regular course,Are Natural Disasters Actually Natural?,9.0,40,13.0,2023-03-22,19:30:01,95,56057.0,,,73.0,884.0,hd,True,False
13,eVUuwHGLIYo,CrashCourse,Climate & Energy,regular course,How Will Climate Change Continue to Affect Us?,8.0,47,13.0,2023-03-15,16:00:33,102,51626.0,,,144.0,862.0,hd,True,False
14,bjIXPPlg1TQ,CrashCourse,Climate & Energy,regular course,Can We Capture Greenhouse Gases?,7.0,33,9.0,2023-03-02,18:00:25,115,50000.0,,,66.0,806.0,hd,True,False
15,1-YtC3nwWwU,CrashCourse,Climate & Energy,regular course,Can We Gas Up... Without Gas?,6.0,30,15.0,2023-02-15,17:00:01,130,53596.0,1548.0,,83.0,850.0,hd,True,False
16,3yH5TuLYRcs,CrashCourse,Climate & Energy,regular course,Can We Keep Warm and Stay Cool Without Fossil Fuels?,5.0,53,13.0,2023-02-01,18:00:01,144,63054.0,1888.0,,117.0,842.0,hd,True,False
17,rDkaZWirNME,CrashCourse,Climate & Energy,regular course,How Can We Store Renewable Energy?,4.0,35,18.0,2023-01-18,17:00:35,158,87439.0,,,153.0,788.0,hd,True,False
18,pT7vRUGeEtA,CrashCourse,Climate & Energy,regular course,Can We Make Electricity Without Fossil Fuels?,3.0,46,17.0,2023-01-04,17:00:29,172,97517.0,3321.0,,382.0,773.0,hd,True,False
